"hfpxzc href","qBF1Pd","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d345cc88121a3d:0x82919ad874adca91!8m2!3d39.859723!4d32.824621!16s%2Fg%2F11b7q7vxbq!19sChIJPRoSiMxF0xQRkcqtdNiakYI?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","928. Sk."
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d3455e335a4d9f:0x226b88650cb7d529!8m2!3d39.875279!4d32.877158!16s%2Fg%2F11b7q7nsq6!19sChIJn01aM15F0xQRKdW3DGWIayI?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","448. Cd."
"https://www.google.com/maps/place/49.+Durak/data=!4m7!3m6!1s0x14d348d1e74dabbd:0x467b0e8f64c9d33d!8m2!3d39.929585!4d32.801451!16s%2Fg%2F11b7q5zjvm!19sChIJvatN59FI0xQRPdPJZI8Oe0Y?authuser=0&hl=tr&rclk=1","49. Durak","·","Alparslan Türkeş Cd"
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d34748e8fff9a7:0xc2403a76f908f525!8m2!3d39.8559011!4d32.7374078!16s%2Fg%2F11b7q909q8!19sChIJp_n_6EhH0xQRJfUI-XY6QMI?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","Hasan Kılavuz Cd."
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d347165b8ef111:0x13a19d951a6672c6!8m2!3d39.865194!4d32.748164!16s%2Fg%2F11bycl293r!19sChIJEfGOWxZH0xQRxnJmGpWdoRM?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","Bilkent 8. Cd."
"https://www.google.com/maps/place/Odt%C3%BC+Demiray+Yurtlar%C4%B1+Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d346443645f771:0xdd107842389d769a!8m2!3d39.885051!4d32.777898!16s%2Fg%2F11b7q6_1cn!19sChIJcfdFNkRG0xQRmnadOEJ4EN0?authuser=0&hl=tr&rclk=1","Odtü Demiray Yurtları Otobüs Durağı","·","ODTÜ"
"https://www.google.com/maps/place/A%C5%9Fti/data=!4m7!3m6!1s0x14d34f367f1575d7:0x19ecfece1aa24243!8m2!3d39.9185997!4d32.8143139!16s%2Fg%2F11b7q5vstc!19sChIJ13UVfzZP0xQRQ0KiGs7-7Bk?authuser=0&hl=tr&rclk=1","Aşti","·","Mevlana Blv."
"https://www.google.com/maps/place/12.+Durak/data=!4m7!3m6!1s0x14d34fb1b4f58f8b:0xd8046542813153bd!8m2!3d39.911067!4d32.866514!16s%2Fg%2F11bycg5q3d!19sChIJi4_1tLFP0xQRvVMxgUJlBNg?authuser=0&hl=tr&rclk=1","12. Durak","·","Bülbülderesi Cd."
"https://www.google.com/maps/place/25.+Durak/data=!4m7!3m6!1s0x14d34f1a733d9c13:0x2163923efe36fe42!8m2!3d39.918024!4d32.83815!16s%2Fg%2F11b7q5dfr3!19sChIJE5w9cxpP0xQRQv42_j6SYyE?authuser=0&hl=tr&rclk=1","25. Durak","·","Mareşal Fevzi Çakmak Cd."
"https://www.google.com/maps/place/67.+Durak/data=!4m7!3m6!1s0x14d34e5435d3e5af:0x6011b782f350c520!8m2!3d39.924518!4d32.856722!16s%2Fg%2F11b7q7z88j!19sChIJr-XTNVRO0xQRIMVQ84K3EWA?authuser=0&hl=tr&rclk=1","67. Durak","·","Mithatpaşa Cd."
